date,score
Sun Dec 17 23:10:55 UTC 2017,24
Sun Dec 17 23:11:03 UTC 2017,24
Sun Dec 17 23:11:10 UTC 2017,24.01
Sun Dec 17 23:11:15 UTC 2017,24
Sun Dec 17 23:11:22 UTC 2017,24
Sun Dec 17 23:11:30 UTC 2017,24
Sun Dec 17 23:11:41 UTC 2017,24
Sun Dec 17 23:11:48 UTC 2017,24.01
Sun Dec 17 23:11:54 UTC 2017,24.01
Sun Dec 17 23:12:01 UTC 2017,24.01
Sun Dec 17 23:12:07 UTC 2017,24.01
Sun Dec 17 23:12:17 UTC 2017,24.01
Sun Dec 17 23:12:27 UTC 2017,24.01
Sun Dec 17 23:12:34 UTC 2017,24.01
Sun Dec 17 23:12:41 UTC 2017,24.01
Sun Dec 17 23:12:47 UTC 2017,24.01
Sun Dec 17 23:12:53 UTC 2017,24.01
Sun Dec 17 23:12:59 UTC 2017,24.01
Sun Dec 17 23:13:06 UTC 2017,24.01
Sun Dec 17 23:13:12 UTC 2017,24.01
Sun Dec 17 23:13:19 UTC 2017,24.01
Sun Dec 17 23:13:39 UTC 2017,24.01
Sun Dec 17 23:13:47 UTC 2017,24.01
Sun Dec 17 23:13:54 UTC 2017,24.01
Sun Dec 17 23:14:00 UTC 2017,24.01
Sun Dec 17 23:14:07 UTC 2017,24.01
Sun Dec 17 23:14:14 UTC 2017,24.01
Sun Dec 17 23:14:21 UTC 2017,24.01
Sun Dec 17 23:14:31 UTC 2017,24.01
Sun Dec 17 23:14:37 UTC 2017,24.01
Sun Dec 17 23:14:58 UTC 2017,24.01
Sun Dec 17 23:15:05 UTC 2017,24.02
Sun Dec 17 23:15:12 UTC 2017,24.02
Sun Dec 17 23:15:18 UTC 2017,24.02
Sun Dec 17 23:15:25 UTC 2017,24.01
Sun Dec 17 23:15:32 UTC 2017,24.02
Sun Dec 17 23:15:39 UTC 2017,24.02
Sun Dec 17 23:15:46 UTC 2017,24.02
Sun Dec 17 23:15:53 UTC 2017,24.02
Sun Dec 17 23:16:00 UTC 2017,24.02
Sun Dec 17 23:16:07 UTC 2017,24.02
Sun Dec 17 23:16:14 UTC 2017,24.02
Sun Dec 17 23:16:20 UTC 2017,24.01
Sun Dec 17 23:16:30 UTC 2017,24.01
Sun Dec 17 23:16:36 UTC 2017,24.01
Sun Dec 17 23:16:43 UTC 2017,24.01
Sun Dec 17 23:16:49 UTC 2017,24.01
Sun Dec 17 23:16:56 UTC 2017,24.01
Sun Dec 17 23:17:02 UTC 2017,24.01
Sun Dec 17 23:17:09 UTC 2017,24.01
Sun Dec 17 23:17:16 UTC 2017,24.01
Sun Dec 17 23:17:23 UTC 2017,24.01
Sun Dec 17 23:17:29 UTC 2017,24.01
Sun Dec 17 23:17:36 UTC 2017,24.02
Sun Dec 17 23:17:42 UTC 2017,24.02
Sun Dec 17 23:17:49 UTC 2017,24.02
Sun Dec 17 23:17:56 UTC 2017,24.02
Sun Dec 17 23:18:04 UTC 2017,24.02
Sun Dec 17 23:18:12 UTC 2017,24.02
Sun Dec 17 23:18:20 UTC 2017,24.02
Sun Dec 17 23:18:31 UTC 2017,24.02
Sun Dec 17 23:18:39 UTC 2017,24.02
Sun Dec 17 23:18:45 UTC 2017,24.02
Sun Dec 17 23:18:52 UTC 2017,24.02
Sun Dec 17 23:18:59 UTC 2017,24.02
Sun Dec 17 23:19:06 UTC 2017,24.02
Sun Dec 17 23:19:14 UTC 2017,24.02
Sun Dec 17 23:19:21 UTC 2017,24.02
Sun Dec 17 23:19:27 UTC 2017,24.02
Sun Dec 17 23:19:34 UTC 2017,24.02
Sun Dec 17 23:19:41 UTC 2017,24.02
Sun Dec 17 23:19:48 UTC 2017,24.02
Sun Dec 17 23:19:54 UTC 2017,24.02
Sun Dec 17 23:20:02 UTC 2017,24.02
Sun Dec 17 23:20:12 UTC 2017,24.02
Sun Dec 17 23:20:18 UTC 2017,24.02
Sun Dec 17 23:20:29 UTC 2017,24.02
Sun Dec 17 23:20:36 UTC 2017,24.02
Sun Dec 17 23:20:42 UTC 2017,24.02
Sun Dec 17 23:20:48 UTC 2017,24.03
Sun Dec 17 23:20:54 UTC 2017,24.03
Sun Dec 17 23:21:00 UTC 2017,24.03
Sun Dec 17 23:21:06 UTC 2017,24.03
Sun Dec 17 23:21:14 UTC 2017,24.03
Sun Dec 17 23:21:21 UTC 2017,24.03
Sun Dec 17 23:21:27 UTC 2017,24.03
Sun Dec 17 23:21:34 UTC 2017,24.03
Sun Dec 17 23:21:40 UTC 2017,24.03
Sun Dec 17 23:21:51 UTC 2017,24.03
Sun Dec 17 23:21:57 UTC 2017,24.03
Sun Dec 17 23:22:04 UTC 2017,24.03
Sun Dec 17 23:22:10 UTC 2017,24.03
Sun Dec 17 23:22:17 UTC 2017,24.03
Sun Dec 17 23:22:27 UTC 2017,24.03
Sun Dec 17 23:22:34 UTC 2017,24.03
Sun Dec 17 23:22:39 UTC 2017,24.03
Sun Dec 17 23:22:46 UTC 2017,24.03
Sun Dec 17 23:22:57 UTC 2017,24.03
Sun Dec 17 23:23:03 UTC 2017,24.04
Sun Dec 17 23:23:09 UTC 2017,24.04
Sun Dec 17 23:23:15 UTC 2017,24.04
Sun Dec 17 23:23:21 UTC 2017,24.04
Sun Dec 17 23:23:29 UTC 2017,24.04
Sun Dec 17 23:23:36 UTC 2017,24.05
Sun Dec 17 23:23:43 UTC 2017,24.05
Sun Dec 17 23:24:04 UTC 2017,24.04
Sun Dec 17 23:24:11 UTC 2017,24.04
Sun Dec 17 23:24:34 UTC 2017,24.04
Sun Dec 17 23:24:40 UTC 2017,24.04
Sun Dec 17 23:24:47 UTC 2017,24.05
Sun Dec 17 23:24:53 UTC 2017,24.05
Sun Dec 17 23:25:04 UTC 2017,24.05
Sun Dec 17 23:25:11 UTC 2017,24.05
Sun Dec 17 23:25:32 UTC 2017,24.05
Sun Dec 17 23:25:38 UTC 2017,24.06
Sun Dec 17 23:25:45 UTC 2017,24.06
Sun Dec 17 23:25:55 UTC 2017,24.06
Sun Dec 17 23:26:01 UTC 2017,24.06
Sun Dec 17 23:26:08 UTC 2017,24.06
